맛,코드,형태소,속성종류,맛종류
단,0002600000010001,0002,6000,0001
달달한,0002600000010002,0002,6000,0001
달콤한,0002600000010003,0002,6000,0001
신,0002600000020001,0002,6000,0002
시큼한,0002600000020002,0002,6000,0002
짠,0002600000030001,0002,6000,0003
짭짤한,0002600000030002,0002,6000,0003
쓴,0002600000040001,0002,6000,0004
매운,0002600000050001,0002,6000,0005
매콤한,0002600000050002,0002,6000,0005
얼얼한,0002600000050003,0002,6000,0005
얼큰한,0002600000050004,0002,6000,0005
칼칼한,0002600000050005,0002,6000,0005
알싸한,0002600000050006,0002,6000,0005
고소한,0002600000060001,0002,6000,0006
느끼한,0002600000070001,0002,6000,0007
담백한,0002600000080001,0002,6000,0008
싱거운,0002600000080002,0002,6000,0008
떫은,0002600000090001,0002,6000,0009
텁텁한,0002600000090002,0002,6000,0009
뜨거운,0002600000100001,0002,6000,0010
따뜻한,0002600000100002,0002,6000,0010
차가운,0002600000110001,0002,6000,0011
시원한,0002600000110002,0002,6000,0011
감칠,0002600000120001,0002,6000,0012
부드러운,0002600000130001,0002,6000,0013
물렁물렁한,0002600000130002,0002,6000,0013
연한,0002600000130003,0002,6000,0013
녹는,0002600000130004,0002,6000,0013
바삭한,0002600000140001,0002,6000,0014
쫄깃한,0002600000150001,0002,6000,0015
질긴,0002600000150002,0002,6000,0015
쫀득한,0002600000150003,0002,6000,0015
물컹한,0002600000160001,0002,6000,0016
구수한,0002600000170001,0002,6000,0017,
